C= 1 , q= 7 k odd, success= false
C= 1 , q= 23 k odd, success= false
C= 1 , q= 31 k odd, success= false
C= 1 , q= 47 k odd, success= false
C= 3 , q= 5 k odd, success= false
C= 3 , q= 13 k odd, success= false
C= 3 , q= 29 k odd, success= false
C= 3 , q= 37 k odd, success= true
C= 3 , q= 53 k odd, success= false
C= 3 , q= 61 k odd, success= true
C= 5 , q= 3 k odd, success= false
C= 5 , q= 11 k odd, success= false
C= 5 , q= 19 k odd, success= true
C= 5 , q= 43 k odd, success= true
C= 5 , q= 59 k odd, success= true
C= 7 , q= 3 k even, success= false
C= 7 , q= 5 k even, success= false
C= 7 , q= 11 k even, success= false
C= 7 , q= 13 k even, success= false
C= 7 , q= 17 k odd, success= true
C= 7 , q= 17 k even, success= true
C= 7 , q= 19 k even, success= true
C= 7 , q= 23 k even, success= false
C= 7 , q= 29 k even, success= true
C= 7 , q= 31 k even, success= false
C= 7 , q= 37 k even, success= true
C= 7 , q= 41 k odd, success= true
C= 7 , q= 41 k even, success= true
C= 7 , q= 43 k even, success= true
C= 7 , q= 47 k even, success= false
C= 7 , q= 53 k even, success= true
C= 7 , q= 59 k even, success= true
C= 7 , q= 61 k even, success= true
C= 11 , q= 5 k odd, success= false
C= 11 , q= 13 k odd, success= true
C= 11 , q= 29 k odd, success= false
C= 11 , q= 37 k odd, success= true
C= 11 , q= 53 k odd, success= true
C= 11 , q= 61 k odd, success= true
C= 13 , q= 3 k odd, success= false
C= 13 , q= 11 k odd, success= false
C= 13 , q= 19 k odd, success= true
C= 13 , q= 43 k odd, success= true
C= 13 , q= 59 k odd, success= true
C= 15 , q= 7 k even, success= false
C= 15 , q= 11 k even, success= false
C= 15 , q= 13 k even, success= true
C= 15 , q= 17 k odd, success= true
C= 15 , q= 17 k even, success= false
C= 15 , q= 19 k even, success= true
C= 15 , q= 23 k even, success= true
C= 15 , q= 29 k even, success= true
C= 15 , q= 31 k even, success= false
C= 15 , q= 37 k even, success= true
C= 15 , q= 41 k odd, success= true
C= 15 , q= 41 k even, success= true
C= 15 , q= 43 k even, success= true
C= 15 , q= 47 k even, success= true
C= 15 , q= 53 k even, success= true
C= 15 , q= 59 k even, success= true
C= 15 , q= 61 k even, success= false
C= 17 , q= 7 k odd, success= true
C= 17 , q= 23 k odd, success= true
C= 17 , q= 31 k odd, success= true
C= 17 , q= 47 k odd, success= false
C= 19 , q= 5 k odd, success= true
C= 19 , q= 13 k odd, success= true
C= 19 , q= 29 k odd, success= false
C= 19 , q= 37 k odd, success= false
C= 19 , q= 53 k odd, success= true
C= 19 , q= 61 k odd, success= true
C= 21 , q= 11 k odd, success= false
